Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,195,195,0,0,0,0,0,0,0,0,195,195,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,390,390,0,0,0,0,0,0,0,0,390,390,0
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,135,135,0,0,0,0,0,0,0,0,135,135,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",0,0,60,60,0,0,0,0,0,0,0,0,60,60,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,25,25,0,0,0,0,0,0,0,0,25,25,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,165,165,0,0,0,0,0,0,0,0,165,165,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,270,270,0,0,0,0,0,0,0,0,270,270,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,223,223,0,0,0,0,0,0,0,0,223,223,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,400,400,0,0,0,0,0,0,0,0,400,400,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,400,400,0,0,0,0,0,0,0,0,400,400,0
"OPPO Reno 12 F (12+256G)","Olive Green",Phone,"Reno 12 F (12+256G)",0,0,1100,1100,0,0,0,0,0,0,0,0,1100,1100,0
"OPPO Reno 12 F (12+256G)","Amber Orange",Phone,"Reno 12 F (12+256G)",0,0,1100,1100,0,0,0,0,0,0,0,0,1100,1100,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,100,100,0,0,0,0,0,0,0,0,100,100,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
