Code,"Mnemonic code","Finance Warehouse Name","Account Org","Finance Warehouse Group","App Consigment","Warehouse Name",On/Off,Creator,"Creation Time",remark
S11150266611000004,1001,"WH - OPPO LAOS","OPPO LAOS Mobile Finance","OPPO LAOS WH Group",No,"OPPO LAOS Mobile",On,Admin,"2024-05-23 11:37:42",
S11150266611000005,1002,"WH - Stock OPPO (Mark)","Stock OPPO Mark Finance","WH - Stock OPPO (Mark)",No,"WH - Stock OPPO (Mark)",On,Admin,"2024-05-23 12:04:11",
S11150266611000006,3001,"ST Dealer","ST Dealer ORG","ST Dealer WH Group",No,"Kerry-ST (Sekong)",On,Admin,"2024-05-24 15:43:15",
S11150266611000007,3002,"ATeng Dealer","ATeng Dealer ORG","ATeng Dealer WH Group",No,"Kerry-ATeng (Sekong)",On,Admin,"2024-07-24 13:59:15",
S11150266611000008,3003,"JK Dealer","JK Dealer ORG","JK Dealer WH Group",No,"Kerry-JK (Pakse)",On,Admin,"2024-07-24 14:00:21",
S11150266611000009,3004,"JW Dealer","JW Dealer ORG","JW Dealer WH Group",No,"Kerry-JW (Phonsaly)",On,Admin,"2024-07-24 14:00:55",
S11150266611000010,3005,"Abao Dealer","Abao Dealer ORG","Abao Dealer WH Group",No,"Kerry-A BAO (Oudomxai)",Off,Admin,"2024-07-24 14:01:22",
S11150266611000011,3006,"QZ Dealer","QZ Dealer ORG","QZ Dealer WH Group",No,"Kerry-QZ (Loungprabang)",On,Admin,"2024-07-24 14:01:51",
S11150266611000012,3007,"Ayao Dealer","Ayao Dealer ORG","Ayao Dealer WH Group",No,"Kerry-A Yao (Loungnamtha)",On,Admin,"2024-07-24 14:02:16",
S11150266611000013,3008,"Inew SVK Dealer","INEW SVK Dealer ORG","INEW SVK Dealer WH Group",No,"Kerry-INEW SVK (Savanakhet)",On,Admin,"2024-07-24 14:02:51",
S11150266611000014,3009,"A Lei Dealer","A Lei Dealer ORG","A Lei Dealer WH Group",Yes,"Kerry - A Lei (Huaphan)",On,Admin,"2024-07-24 14:03:33",
S11150266611000015,2001,"LH Dealer","LH Dealer ORG","LH Dealer WH Group",No,"Kerry-LH (Bokeo)",On,Admin,"2024-07-24 14:04:07",
S11150266611000016,2002,"ATA Dealer","ATA Dealer ORG","ATA Dealer WH Group",No,"Kerry-ATA (Attapue)",On,Admin,"2024-07-24 14:04:28",
S11150266611000017,2003,"ABO Dealer","ABO Dealer ORG","ABO Dealer WH Group",No,"Kerry-ABO (Salavan)",On,Admin,"2024-07-24 14:04:51",
S11150266611000018,2004,"Ahua Dealer","Ahua Dealer ORG","Ahua Dealer WH Group",No,"Kerry-A Hua (Xiengkhuang)",On,Admin,"2024-07-24 14:05:16",
S11150266611000019,2005,"Aqing Dealer","Aqing Dealer ORG","Aqing Dealer Wh Group",No,"Kerry-Aqing (Xaisomboun)",On,Admin,"2024-07-24 14:05:37",
S11150266611000020,2006,"Siam Dealer","Siam Dealer ORG","Siam Dealer Wh Group",No,"Kerry-Siam (Xaiyabouli)",On,Admin,"2024-07-24 14:06:04",
S11150266611000021,1003,"Stock After Sale","Stock After Sale ORG","Stock After Sale WH Group",No,"WH - Stock Broken (Afeng)",On,Admin,"2024-07-24 14:06:43",
S11150266611000022,2007,"Win Dealer","Win Dealer ORG","Win Dealer WH Group",No,"Kerry-Win (Vientiane)",On,Admin,"2024-07-24 14:08:57",
S11150266611000023,2008,"Inew Dealer","inew VT Dealer ORG","inew VT Dealer WH Group",No,"Kerry-INEW (Vientiane)",On,Admin,"2024-07-24 14:09:23",
S11150266611000024,2009,"Awen Dealer","Awen Dealer ORG","Awen Dealer WH Group",No,"Kerry-Awen (Thakhaek)",On,Admin,"2024-07-24 14:09:58",
S11150266611000025,1004,"Stock OPPO","Stock OPPO Mark Finance","WH - Stock OPPO (Mark)",No,"WH - Stock OPPO (Mark)",On,Admin,"2024-07-24 14:10:38",
S11150266611000027,1006,"Stock After Sale","Stock After Sale ORG","Stock After Sale",No,"WH - Stock After Sale (Afeng)",On,Admin,"2024-07-24 14:14:14",
