Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,23,23,0,0,0,0,0,0,0,0,23,23,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",3,0,97,100,0,0,0,0,0,0,0,0,97,100,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",7,0,149,156,0,0,0,0,0,0,0,0,149,156,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,49,49,0,0,0,0,0,0,0,0,49,49,0
"OPPO A5 Pro (8+256G)","Mocha Brown",Phone,"A5 Pro (8+256G)",2,0,33,35,0,0,0,0,0,0,0,0,33,35,0
"OPPO A5 Pro (8+256G)","Feather Blue",Phone,"A5 Pro (8+256G)",0,0,59,59,0,0,0,0,0,0,0,0,59,59,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,7,7,0,0,0,0,0,0,0,0,7,7,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,4,4,0,0,0,0,0,0,0,0,4,4,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,36,36,0,0,0,0,0,0,0,0,36,36,0
"OPPO Reno 13 (12+512G)","Luminous Blue",Phone,"Reno 13 (12+512G)",0,0,20,20,0,0,0,0,0,0,0,0,20,20,0
"OPPO Reno 13 (12+512G)","Plume White",Phone,"Reno 13 (12+512G)",0,0,33,33,0,0,0,0,0,0,0,0,33,33,0
