Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",16,0,184,200,0,0,0,0,0,0,0,0,184,200,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",50,0,1042,1092,0,0,0,0,0,0,0,0,1042,1092,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",2,0,74,76,0,0,0,0,0,0,0,0,74,76,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",0,0,125,125,0,0,0,0,0,0,0,0,125,125,0
"OPPO A58 (8+128G)","Glowing Black",Phone,"A58 (8+128G)",0,0,21,21,0,0,0,0,0,0,0,0,21,21,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",28,0,272,300,0,0,0,0,0,0,0,0,272,300,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,395,395,0,0,0,0,0,0,0,0,395,395,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,167,167,0,0,0,0,0,0,0,0,167,167,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 11 5G (12+256G)","Rock Grey",Phone,"Reno 11 5G (12+256G)",0,0,24,24,0,0,0,0,0,0,0,0,24,24,0
"OPPO Reno 11 5G (12+256G)","Wave Green",Phone,"Reno 11 5G (12+256G)",0,0,16,16,0,0,0,0,0,0,0,0,16,16,0
"OPPO Reno 11F 5G (8+256G)","Ocean Blue",Phone,"Reno 11F 5G (8+256G)",0,0,48,48,0,0,0,0,0,0,0,0,48,48,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,115,115,0,0,0,0,0,0,0,0,115,115,0
"OPPO Reno 11Pro 5G (12+512G)","Pearl White",Phone,"Reno 11Pro 5G (12+512G)",0,0,6,6,0,0,0,0,0,0,0,0,6,6,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
