Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+128G)","Glowing Black",Phone,"A18 (4+128G)",0,0,75,75,0,0,0,0,0,0,0,0,75,75,0
"OPPO A18 (4+128G)","Glowing Blue",Phone,"A18 (4+128G)",70,0,80,150,0,0,0,0,0,0,0,0,80,150,0
"OPPO A18 (4+64G)","Glowing Black",Phone,"A18 (4+64G)",100,0,150,250,0,0,0,0,0,0,0,0,150,250,0
"OPPO A38 (6+128G)","Glowing Black",Phone,"A38 (6+128G)",35,0,30,65,0,0,0,0,0,0,0,0,30,65,0
"OPPO A38 (6+128G)","Glowing Gold",Phone,"A38 (6+128G)",35,0,30,65,0,0,0,0,0,0,0,0,30,65,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,160,160,0,0,0,0,0,0,0,0,160,160,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,57,57,0,0,0,0,0,0,0,0,57,57,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,393,393,0,0,0,0,0,0,0,0,393,393,0
"OPPO A79 5G(8+256G)","Mystery Black",Phone,"A79 5G(8+256G)",0,0,189,189,0,0,0,0,0,0,0,0,189,189,0
"OPPO Enco Air3 Pro",Green,IoT,"Enco Air3 Pro",0,0,8,8,0,0,0,0,0,0,0,0,8,8,0
"OPPO Enco Air3 Pro",White,IoT,"Enco Air3 Pro",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 11F 5G (8+256G)","Palm Green",Phone,"Reno 11F 5G (8+256G)",0,0,111,111,0,0,0,0,0,0,0,0,111,111,0
"OPPO Watch X","Platinum Black",IoT,"Watch X",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Watch X","Mars Brow",IoT,"Watch X",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
